Daily Rainfall Total (mm),Datetime,category
4.0,2016-02-28,0
0.0,2016-02-29,0
0.8,2016-03-01,0
0.0,2016-03-02,0
0.0,2016-03-03,0
15.6,2016-03-04,0
32.8,2016-03-05,0
0.2,2016-03-06,0
26.4,2016-03-07,0
417.40000000000003,2016-03-08,2
0.6000000000000001,2016-03-09,0
204.79999999999995,2016-03-10,2
0.8,2016-03-11,0
0.0,2016-03-12,0
313.90000000000003,2016-03-13,2
48.4,2016-03-14,0
0.0,2016-03-15,0
0.0,2016-03-16,0
3.2,2016-03-17,0
0.0,2016-03-18,0
0.0,2016-03-19,0
44.0,2016-03-20,0
172.0,2016-03-21,1
24.2,2016-03-22,0
0.0,2016-03-23,0
42.6,2016-03-24,0
80.2,2016-03-25,1
0.0,2016-03-26,0
0.0,2016-03-27,0
0.0,2016-03-28,0
0.0,2016-03-29,0
0.0,2016-03-30,0
0.4,2016-03-31,0
0.0,2016-04-01,0
4.3,2016-04-02,0
138.3,2016-04-03,1
88.80000000000001,2016-04-04,1
91.1,2016-04-05,1
0.0,2016-04-06,0
8.0,2016-04-07,0
0.6,2016-04-08,0
446.29999999999995,2016-04-09,2
37.89999999999999,2016-04-10,0
15.2,2016-04-11,0
96.10000000000001,2016-04-12,1
63.699999999999996,2016-04-13,1
52.300000000000004,2016-04-14,1
44.7,2016-04-15,0
96.30000000000001,2016-04-16,1
34.0,2016-04-17,0
0.0,2016-04-18,0
0.2,2016-04-19,0
228.9,2016-04-20,2
0.2,2016-04-21,0
250.19999999999993,2016-04-22,2
162.1,2016-04-23,1
25.0,2016-04-24,0
223.2,2016-04-25,2
42.60000000000001,2016-04-26,0
141.1,2016-04-27,1
106.6,2016-04-28,1
324.9,2016-04-29,2
124.5,2016-04-30,1
7.6000000000000005,2016-05-01,0
102.1,2016-05-02,1
0.4,2016-05-03,0
0.0,2016-05-04,0
172.9,2016-05-05,1
20.2,2016-05-06,0
13.7,2016-05-07,0
11.7,2016-05-08,0
42.0,2016-05-09,0
0.0,2016-05-10,0
629.2,2016-05-11,3
6.1,2016-05-12,0
127.19999999999999,2016-05-13,1
490.70000000000005,2016-05-14,2
153.10000000000002,2016-05-15,1
290.69999999999993,2016-05-16,2
79.4,2016-05-17,1
317.30000000000007,2016-05-18,2
18.299999999999997,2016-05-19,0
3.8999999999999995,2016-05-20,0
179.5,2016-05-21,1
572.9000000000001,2016-05-22,3
43.599999999999994,2016-05-23,0
13.2,2016-05-24,0
104.19999999999999,2016-05-25,1
1.4999999999999998,2016-05-26,0
0.0,2016-05-27,0
242.70000000000002,2016-05-28,2
6.4,2016-05-29,0
45.50000000000001,2016-05-30,0
0.0,2016-05-31,0
275.1,2016-06-01,2
219.4,2016-06-02,2
24.500000000000004,2016-06-03,0
27.400000000000006,2016-06-04,0
0.4,2016-06-05,0
55.6,2016-06-06,1
18.3,2016-06-07,0
431.90000000000003,2016-06-08,2
169.5,2016-06-09,1
44.2,2016-06-10,0
96.60000000000001,2016-06-11,1
24.9,2016-06-12,0
41.8,2016-06-13,0
12.799999999999999,2016-06-14,0
413.00000000000006,2016-06-15,2
129.9,2016-06-16,1
733.0,2016-06-17,3
7.800000000000001,2016-06-18,0
0.2,2016-06-19,0
0.0,2016-06-20,0
9.3,2016-06-21,0
97.20000000000002,2016-06-22,1
0.0,2016-06-23,0
768.4999999999999,2016-06-24,3
10.600000000000001,2016-06-25,0
7.9,2016-06-26,0
0.0,2016-06-27,0
0.0,2016-06-28,0
0.0,2016-06-29,0
1.2,2016-06-30,0
0.0,2016-07-01,0
0.0,2016-07-02,0
0.0,2016-07-03,0
